type, ringDim, setup, encryption, cMult, AddMany, total_time, value 
n1000x8192-coef-inner, 2048, 19, 30006, 13822, 437, 44284, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 28480, 13741, 402, 42639, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27421, 12747, 392, 40576, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27565, 12783, 397, 40761, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27603, 12761, 396, 40776, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27374, 12667, 398, 40455, 1.36533e+07
n1000x8192-coef-inner, 2048, 17, 27568, 12741, 407, 40733, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27502, 12729, 396, 40643, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27272, 12647, 397, 40332, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27592, 13204, 401, 41213, 1.36533e+07
n1000x8192-coef-inner, 2048, 17, 27626, 12798, 401, 40842, 1.36533e+07
n1000x8192-coef-inner, 2048, 20, 27578, 12736, 392, 40726, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27391, 13089, 392, 40888, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27611, 13165, 395, 41187, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27515, 12742, 396, 40669, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27549, 12750, 399, 40714, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27638, 12679, 395, 40728, 1.36533e+07
n1000x8192-coef-inner, 2048, 22, 27532, 13382, 398, 41334, 1.36533e+07
n1000x8192-coef-inner, 2048, 17, 27744, 13379, 399, 41539, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27801, 13186, 393, 41396, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27639, 13278, 398, 41331, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27683, 12743, 405, 40847, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27593, 12717, 397, 40723, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27709, 12681, 394, 40800, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27284, 12713, 392, 40405, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27536, 13170, 399, 41121, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27583, 12635, 394, 40628, 1.36533e+07
n1000x8192-coef-inner, 2048, 22, 27577, 12773, 403, 40775, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27527, 12707, 396, 40646, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27899, 12824, 400, 41139, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27605, 12789, 396, 40806, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27422, 12662, 397, 40497, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27483, 13164, 394, 41057, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27515, 12736, 394, 40661, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27412, 12712, 400, 40540, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27624, 12723, 395, 40758, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27476, 12694, 396, 40582, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27476, 12751, 407, 40650, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27304, 12713, 394, 40427, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27508, 13291, 399, 41214, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27579, 12797, 395, 40787, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27321, 12612, 392, 40341, 1.36533e+07
n1000x8192-coef-inner, 2048, 18, 27552, 13193, 396, 41159, 1.36533e+07
n1000x8192-coef-inner, 2048, 17, 27494, 12986, 396, 40893, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27531, 13267, 397, 41211, 1.36533e+07
n1000x8192-coef-inner, 2048, 16, 27542, 12812, 399, 40769, 1.36533e+07
