type, setup, encryption, homomorphic, decryption, plaintext, total, value
opt-rot-slot, 284, 8895, 421, 1, 0, 9601, 1.00012
opt-rot-slot, 276, 8394, 420, 1, 0, 9091, 1.00012
opt-rot-slot, 272, 8419, 427, 1, 0, 9119, 1.00012
opt-rot-slot, 274, 8377, 417, 1, 0, 9069, 1.00012
opt-rot-slot, 276, 8383, 422, 1, 0, 9082, 1.00012
opt-rot-slot, 271, 8340, 412, 1, 0, 9024, 1.00012
opt-rot-slot, 275, 8382, 419, 1, 0, 9077, 1.00012
opt-rot-slot, 273, 8316, 414, 1, 0, 9004, 1.00012
opt-rot-slot, 266, 8372, 422, 1, 0, 9061, 1.00012
opt-rot-slot, 269, 8334, 412, 1, 0, 9016, 1.00012
opt-rot-slot, 271, 8365, 416, 1, 0, 9053, 1.00012
opt-rot-slot, 268, 8367, 418, 1, 0, 9054, 1.00012
opt-rot-slot, 277, 8312, 416, 1, 0, 9006, 1.00012
opt-rot-slot, 266, 8315, 412, 1, 0, 8994, 1.00012
opt-rot-slot, 272, 8471, 424, 1, 0, 9168, 1.00012
opt-rot-slot, 276, 8368, 418, 1, 0, 9063, 1.00012
opt-rot-slot, 274, 8363, 413, 1, 0, 9051, 1.00012
opt-rot-slot, 272, 8360, 421, 1, 0, 9054, 1.00012
opt-rot-slot, 270, 8357, 416, 1, 0, 9044, 1.00012
opt-rot-slot, 267, 8326, 414, 1, 0, 9008, 1.00012
opt-rot-slot, 272, 8364, 413, 1, 0, 9050, 1.00012
opt-rot-slot, 273, 8366, 414, 1, 0, 9054, 1.00012
opt-rot-slot, 276, 8314, 411, 1, 0, 9002, 1.00012
opt-rot-slot, 269, 8352, 418, 1, 0, 9040, 1.00012
opt-rot-slot, 269, 8320, 420, 1, 0, 9010, 1.00012
opt-rot-slot, 270, 8363, 426, 1, 0, 9060, 1.00012
opt-rot-slot, 269, 8313, 422, 1, 0, 9005, 1.00012
opt-rot-slot, 273, 8369, 414, 1, 0, 9057, 1.00012
opt-rot-slot, 268, 8347, 418, 1, 0, 9034, 1.00012
opt-rot-slot, 268, 8314, 413, 1, 0, 8996, 1.00012
opt-rot-slot, 274, 8317, 412, 1, 0, 9004, 1.00012
opt-rot-slot, 269, 8343, 416, 1, 0, 9029, 1.00012
opt-rot-slot, 275, 8327, 413, 1, 0, 9016, 1.00012
opt-rot-slot, 269, 8357, 416, 1, 0, 9043, 1.00012
opt-rot-slot, 274, 8351, 414, 1, 0, 9040, 1.00012
opt-rot-slot, 279, 8317, 412, 1, 0, 9009, 1.00012
opt-rot-slot, 272, 8319, 411, 1, 0, 9003, 1.00012
opt-rot-slot, 269, 8336, 415, 1, 0, 9021, 1.00012
opt-rot-slot, 271, 8318, 414, 1, 0, 9004, 1.00012
opt-rot-slot, 268, 8322, 411, 1, 0, 9002, 1.00012
opt-rot-slot, 272, 8335, 414, 1, 0, 9022, 1.00012
opt-rot-slot, 272, 8352, 417, 1, 0, 9042, 1.00012
opt-rot-slot, 270, 8298, 409, 1, 0, 8978, 1.00012
opt-rot-slot, 270, 8340, 417, 1, 0, 9028, 1.00012
opt-rot-slot, 273, 8363, 416, 1, 0, 9053, 1.00012
opt-rot-slot, 270, 8335, 420, 1, 0, 9026, 1.00012
opt-rot-slot, 268, 8361, 414, 1, 0, 9044, 1.00012
opt-rot-slot, 270, 8355, 416, 1, 0, 9042, 1.00012
opt-rot-slot, 272, 8337, 415, 1, 0, 9025, 1.00012
opt-rot-slot, 269, 8311, 408, 1, 0, 8989, 1.00012
opt-rot-slot, 267, 8311, 412, 1, 0, 8991, 1.00012
opt-rot-slot, 276, 8312, 414, 1, 0, 9003, 1.00012
